书名,作者,价格,豆瓣评分,一句话书评,信息查阅
心是孤独的猎手,[美] 卡森·麦卡勒斯 , 25.00元,8.5,镇上有两个哑巴，他们总是在一起。,https://book.douban.com/subject/1424741/
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 22.00元,8.7,阿婆代表作之一,https://book.douban.com/subject/1818347/
设计中的设计,[日] 原研哉 , 48.00元,8.6,日常生活的无限可能性,https://book.douban.com/subject/1941558/
佛祖在一号线,李海鹏 , 25.00元,8.2,嬉笑怒骂的常识分子,https://book.douban.com/subject/4872671/
项链,[法] 莫泊桑 , 28.00元,8.3,,https://book.douban.com/subject/1258498/
激荡三十年（上）,吴晓波 , 35.00,8.8,这是一个最好的时代，也是一个最坏的时代,https://book.douban.com/subject/1970428/
我执,梁文道 , 35.00元,8.0,梁文道的私密日记,https://book.douban.com/subject/3642673/
父与子全集,[德] 埃·奥·卜劳恩 绘 , 20.00元,9.2,,https://book.douban.com/subject/1002898/
罗生门,[日]芥川龙之介 , 12.00元,8.7,,https://book.douban.com/subject/3136271/
偷书贼,[澳] 马克斯·苏萨克 , 25.00元,8.0,不能说偷，是窃，窃你懂吗,https://book.douban.com/subject/2180619/
人间词话,王国维 , 9.80元,9.0,,https://book.douban.com/subject/1203426/
九州·缥缈录,江南 , 20.00元,8.8,乱世的英雄史诗,https://book.douban.com/subject/1321017/
我的精神家园,王小波 , 18.80元,9.1,活过，爱过，写过,https://book.douban.com/subject/1014578/
一千零一夜,纳训 , 22.0,8.6,,https://book.douban.com/subject/1035848/
妻妾成群,苏童 , 23.00元,8.2,,https://book.douban.com/subject/1025753/
野火集,龙应台 , 25.00元,8.8,中国人你为什么不生气？,https://book.douban.com/subject/1426971/
海子的诗,海子 , 15.40,8.9,,https://book.douban.com/subject/1011754/
第一炉香,张爱玲 , 11.5,8.4,,https://book.douban.com/subject/1082162/
芳华,严歌苓 , 39.00元,8.1,,https://book.douban.com/subject/27010212/
占星术杀人魔法,[日] 岛田庄司 , 28.00,8.3,一桩占星术连续杀人案件,https://book.douban.com/subject/3187737/
面纱,(英)W.萨默塞特·毛姆 , 32.00元,8.7,,https://book.douban.com/subject/10560798/
教父,[美]马里奥·普佐 , 23.30元,9.0,,https://book.douban.com/subject/1092335/
雨季不再来,三毛 , 28.00元,8.7,,https://book.douban.com/subject/2136140/
娱乐至死,[美] 尼尔·波兹曼 , 29.80元,8.6,,https://book.douban.com/subject/1062193/
舞！舞！舞！,[日] 村上春树 , 25.00元,8.3,深入村上春树的心灵腹地,https://book.douban.com/subject/1020670/
浪潮之巅,吴军 , 55.00元,9.1,了解IT领域的入门读物,https://book.douban.com/subject/6709783/
斯通纳,[美] 约翰·威廉斯 , 39.00元,8.8,,https://book.douban.com/subject/26425831/
万水千山走遍,三毛 , 13.80,8.8,,https://book.douban.com/subject/1036490/
哈姆莱特,[英] 莎士比亚 , 7.00元,8.5,,https://book.douban.com/subject/1006197/
高效能人士的七个习惯（精华版）,[美] 史蒂芬·柯维 , 29.00元,8.2,,https://book.douban.com/subject/1048007/
动物凶猛,王朔 , 15.5,8.3,,https://book.douban.com/subject/1143694/
子不语1,夏达 , RMB36.00,9.0,,https://book.douban.com/subject/4188697/
台北人,白先勇 , 38.00元,8.9,,https://book.douban.com/subject/5337248/
小姨多鹤,严歌苓 , 28.00元,8.6,,https://book.douban.com/subject/3012517/
罗杰疑案,[英] 阿加莎·克里斯蒂 , 21.00元,8.9,,https://book.douban.com/subject/1807516/
观念的水位,刘瑜 , 36.00元,8.3,,https://book.douban.com/subject/20463108/
夹边沟记事,杨显惠 , 34.00元,9.2,,https://book.douban.com/subject/3239549/
爱的艺术,[美] 艾·弗洛姆 , 15.00元,8.8,,https://book.douban.com/subject/3026879/
雾都孤儿,[英]狄更斯 , 10.10元,8.1,,https://book.douban.com/subject/1203251/
新名字的故事,[意] 埃莱娜·费兰特 , 59.00元,9.0,,https://book.douban.com/subject/26986954/
巨流河,齐邦媛 , 39.00元,8.7,,https://book.douban.com/subject/4842446/
动物庄园,（英）乔治·奥威尔 , 18.00,9.1,,https://book.douban.com/subject/1018136/
白银时代,王小波 , 10.00元,8.4,,https://book.douban.com/subject/1082150/
中国大历史,黄仁宇 , 19.00元,8.3,,https://book.douban.com/subject/1015699/
新参者,[日] 东野圭吾 , 28.00元,8.4,,https://book.douban.com/subject/6746289/
琅琊榜,海宴 , 49.80元,8.5,,https://book.douban.com/subject/2326571/
寻羊冒险记,[日] 村上春树 , 18.80元,8.1,,https://book.douban.com/subject/1031740/
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 , 45.00元,8.8,,https://book.douban.com/subject/1813841/
告白,湊佳苗 , NT$250,8.6,,https://book.douban.com/subject/3920130/
红拂夜奔,王小波 , 28.00元,8.6,,https://book.douban.com/subject/1418686/
